BINARY;VERSION;CVE identifier;CVSS rating;exploit db exploit available;metasploit module;trickest PoC;Routersploit;Snyk PoC;Packetstormsecurity PoC;local exploit;remote exploit;DoS exploit;known exploited vuln;kernel vulnerability verified;FIRST EPSS;FIRST PERC;
iptables;1.4.5;CVE-2012-2663;7.5 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;76;
zlib;1.1.4;CVE-2023-45853;9.8;6;0;0;0/0;0;0;0;0;0;0;no;0;47;
vsftpd;2.3.2;CVE-2021-3618;7.4;6;0;0;0/0;0;0;0;0;0;0;no;0;47;
zlib;1.1.4;CVE-2023-6992;5.5;6;0;0;0/0;0;0;0;0;0;0;no;0;5;
zlib;1.1.4;CVE-2018-25032;7.5;6;0;0;0/0;0;0;0;0;0;0;no;0;68;
zlib;1.1.4;CVE-2022-37434;9.8;6;0;0;0/0;0;0;0;0;0;0;no;0;71;
vsftpd;2.3.2;CVE-2015-1419;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;66;
busybox;1.01;CVE-2006-5050;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;70;
busybox;1.01;CVE-2011-2716;6.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;57;
busybox;1.01;CVE-2013-1813;7.2 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;5;
busybox;1.01;CVE-2011-5325;7.5;6;0;0;0/0;0;0;0;0;0;0;no;1;85;
vsftpd;2.3.2;CVE-2011-0762;4.0 (v2);12;1;0;0/0;0;2;0;0;0;0;no;25;96;
busybox;1.01;CVE-2016-2148;9.8;6;0;0;0/0;0;0;0;0;0;0;no;1;88;
busybox;1.01;CVE-2018-20679;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;78;
busybox;1.01;CVE-2014-9645;2.1 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;5;
busybox;1.01;CVE-2019-5747;7.5;6;0;0;0/0;0;0;0;0;0;0;no;0;81;
busybox;1.01;CVE-2018-1000517;9.8;6;0;0;0/0;0;0;0;0;0;0;no;0;68;
busybox;1.01;CVE-2017-16544;8.8;6;0;0;0/0;0;0;0;0;0;0;no;0;77;
busybox;1.01;CVE-2016-2147;7.5;6;0;0;0/0;0;0;0;0;0;0;no;8;94;
busybox;1.01;CVE-2018-1000500;8.1;6;0;0;0/0;0;0;0;0;0;0;no;0;80;
busybox;1.01;CVE-2022-48174;9.8;6;0;0;0/0;0;0;0;0;0;0;no;0;52;
busybox;1.01;CVE-2022-28391;8.8;6;0;0;0/0;0;0;0;0;0;0;no;1;84;
busybox;1.01;CVE-2016-6301;7.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;4;92;
busybox;1.01;CVE-2015-9261;5.5;6;0;0;0/0;0;0;0;0;0;0;no;0;42;
zlib;1.1.4;CVE-2003-0107;7.5 (v2);20;0;0;0/0;0;0;0;0;0;0;no;7;94;
openssl;0.9.8b;CVE-2009-4355;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;20;96;
openssl;0.9.8b;CVE-2007-5135;6.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;58;97;
openssl;1.0.0d;CVE-2013-0169;2.6 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;77;
openssl;0.9.8b;CVE-2006-4339;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;9;94;
openssl;0.9.8b;CVE-2006-3738;10.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;96;99;
