[*] Binary protection state of libntfs-3g.so.83.0.0

  
  	No RELRO       No Canary found   NX disabled  PIE enabled  No RPATH     No RUNPATH   No Symbols


[*] Function popen tear down of libntfs-3g.so.83.0.0

    ; assembly                           | /* r2dec pseudo code output */
                                         | /* /logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/lib/libntfs-3g.so.83.0.0 @ 0x431c4 */
                                         | #include <stdint.h>
                                         |  
    ; (fcn) sym.ntfs_index_lookup ()     | void ntfs_index_lookup () {
    0x000431c4 lui gp, 4                 |     
    0x000431c8 addiu gp, gp, 0x558c      |     
    0x000431cc addu gp, gp, t9           |     gp += t9;
    0x000431d0 addiu sp, sp, -0x60       |     
    0x000431d4 sw ra, 0x58(sp)           |     *(var_58h) = ra;
    0x000431d8 sw fp, 0x54(sp)           |     *(var_54h) = fp;
    0x000431dc sw s0, 0x50(sp)           |     *(var_50h) = s0;
    0x000431e0 move fp, sp               |     fp = sp;
    0x000431e4 sw gp, 0x18(sp)           |     *(var_18h) = gp;
    0x000431e8 sw a0, 0x60(fp)           |     *(arg_60h) = a0;
    0x000431ec sw a1, 0x64(fp)           |     *(arg_64h) = a1;
    0x000431f0 sw a2, 0x68(fp)           |     *(arg_68h) = a2;
    0x000431f4 lw v0, 0x68(fp)           |     v0 = *(arg_68h);
    0x000431f8 lw v0, (v0)               |     v0 = *(v0);
    0x000431fc sw v0, 0x30(fp)           |     *(var_30h) = v0;
    0x00043200 sw zero, 0x3c(fp)         |     *(var_3ch) = 0;
    0x00043204 sw zero, 0x44(fp)         |     *(var_44h) = 0;
    0x00043208 lw v0, 0x60(fp)           |     v0 = *(arg_60h);
                                         |     if (v0 != 0) {
    0x0004320c beqz v0, 0x43228          |         
    0x00043210 nop                       |         
    0x00043214 lw v0, 0x64(fp)           |         v0 = *(arg_64h);
                                         |         if (v0 <= 0) {
    0x00043218 blez v0, 0x43228          |             goto label_0;
                                         |         }
    0x0004321c nop                       |         
    0x00043220 b 0x43250                 |         goto label_1;
    0x00043224 nop                       |         
                                         |     }
                                         | label_0:
    0x00043228 lw t9, -0x7ecc(gp)        |     t9 = sym.imp.__errno_location;
    0x0004322c jalr t9                   |     t9 ();
    0x00043230 nop                       |     
    0x00043234 lw gp, 0x18(fp)           |     gp = *(var_18h);
    0x00043238 move v1, v0               |     v1 = v0;
    0x0004323c addiu v0, zero, 0x16      |     v0 = 0x16;
    0x00043240 sw v0, (v1)               |     *(v1) = v0;
    0x00043244 addiu v0, zero, -1        |     v0 = -1;
    0x00043248 sw v0, 0x4c(fp)           |     *(var_4ch) = v0;
    0x0004324c b 0x437fc                 |     goto label_2;
                                         | label_1:
    0x00043250 lw v1, 0x68(fp)           |     v1 = *(arg_68h);
    0x00043254 lw a2, 0x68(fp)           |     a2 = *(arg_68h);
    0x00043258 lw v0, 0x68(fp)           |     v0 = *(arg_68h);
    0x0004325c addiu v0, v0, 0x24        |     v0 += 0x24;
    0x00043260 lw a0, 0x30(fp)           |     a0 = *(var_30h);
    0x00043264 lw a1, 4(v1)              |     a1 = *((v1 + 1));
    0x00043268 lw a2, 8(a2)              |     a2 = *((a2 + 2));
    0x0004326c move a3, v0               |     a3 = v0;
    0x00043270 lw t9, -0x7fd0(gp)        |     t9 = *((gp - 8180));
    0x00043274 addiu t9, t9, 0x2920      |     t9 += 0x2920;
    0x00043278 jalr t9                   |     t9 ();
    0x0004327c nop                       |     
    0x00043280 lw gp, 0x18(fp)           |     gp = *(var_18h);
    0x00043284 sw v0, 0x34(fp)           |     *(var_34h) = v0;
    0x00043288 lw v0, 0x34(fp)           |     v0 = *(var_34h);
                                         |     if (v0 == 0) {
    0x0004328c bnez v0, 0x432dc          |         
    0x00043290 nop                       |         
    0x00043294 lw t9, -0x7ecc(gp)        |         t9 = sym.imp.__errno_location;
    0x00043298 jalr t9                   |         t9 ();
    0x0004329c nop                       |         
    0x000432a0 lw gp, 0x18(fp)           |         gp = *(var_18h);
    0x000432a4 lw v1, (v0)               |         v1 = *(v0);
    0x000432a8 addiu v0, zero, 2         |         v0 = 2;
                                         |         if (v1 == v0) {
    0x000432ac bne v1, v0, 0x432d0       |             
    0x000432b0 nop                       |             
    0x000432b4 lw t9, -0x7ecc(gp)        |             t9 = sym.imp.__errno_location;
    0x000432b8 jalr t9                   |             t9 ();
    0x000432bc nop                       |             
    0x000432c0 lw gp, 0x18(fp)           |             gp = *(var_18h);
    0x000432c4 move v1, v0               |             v1 = v0;
    0x000432c8 addiu v0, zero, 5         |             v0 = 5;
    0x000432cc sw v0, (v1)               |             *(v1) = v0;
                                         |         }
    0x000432d0 addiu v0, zero, -1        |         v0 = -1;
    0x000432d4 sw v0, 0x4c(fp)           |         *(var_4ch) = v0;
    0x000432d8 b 0x437fc                 |         goto label_2;
                                         |     }
    0x000432dc lw a1, 0x68(fp)           |     a1 = *(arg_68h);
    0x000432e0 lw v1, 0x34(fp)           |     v1 = *(var_34h);
    0x000432e4 lbu v0, 8(v1)             |     v0 = *((v1 + 8));
    0x000432e8 sll a0, v0, 0x18          |     a0 = v0 << 0x18;
    0x000432ec lbu v0, 9(v1)             |     v0 = *((v1 + 9));
    0x000432f0 sll v0, v0, 0x10          |     v0 <<= 0x10;
    0x000432f4 or a0, v0, a0             |     a0 = v0 | a0;
    0x000432f8 lbu v0, 0xa(v1)           |     v0 = *((v1 + 10));
    0x000432fc sll v0, v0, 8             |     v0 <<= 8;
    0x00043300 or a0, v0, a0             |     a0 = v0 | a0;
    0x00043304 lbu v0, 0xb(v1)           |     v0 = *((v1 + 11));
    0x00043308 or v0, v0, a0             |     v0 |= a0;
    0x0004330c move v1, v0               |     v1 = v0;
    0x00043310 lui v0, 0xff00            |     v0 = 0xff000000;
    0x00043314 and v0, v1, v0            |     v0 = v1 & v0;
    0x00043318 srl a0, v0, 0x18          |     a0 = v0 >> 0x18;
    0x0004331c lui v0, 0xff              |     v0 = 0xff0000;
    0x00043320 and v0, v1, v0            |     v0 = v1 & v0;
    0x00043324 srl v0, v0, 8             |     v0 >>= 8;
    0x00043328 or a0, a0, v0             |     a0 |= v0;
    0x0004332c andi v0, v1, 0xff00       |     v0 = v1 & 0xff00;
    0x00043330 sll v0, v0, 8             |     v0 <<= 8;
    0x00043334 or a0, a0, v0             |     a0 |= v0;
    0x00043338 andi v0, v1, 0xff         |     v0 = v1 & 0xff;
    0x0004333c sll v0, v0, 0x18          |     v0 <<= 0x18;
    0x00043340 or v0, a0, v0             |     v0 = a0 | v0;
    0x00043344 sw v0, 0x1b8(a1)          |     *((a1 + 110)) = v0;
    0x00043348 lw v0, 0x68(fp)           |     v0 = *(arg_68h);
    0x0004334c lw v0, 0x1b8(v0)          |     v0 = *((v0 + 110));
    0x00043350 sltiu v0, v0, 0x200       |     v0 = (v0 < 0x200) ? 1 : 0;
                                         |     if (v0 != 0) {
    0x00043354 beqz v0, 0x4337c          |         
    0x00043358 nop                       |         
    0x0004335c lw t9, -0x7ecc(gp)        |         t9 = sym.imp.__errno_location;
    0x00043360 jalr t9                   |         t9 ();
    0x00043364 nop                       |         
    0x00043368 lw gp, 0x18(fp)           |         gp = *(var_18h);
    0x0004336c move v1, v0               |         v1 = v0;
    0x00043370 addiu v0, zero, 0x16      |         v0 = 0x16;
    0x00043374 sw v0, (v1)               |         *(v1) = v0;
    0x00043378 b 0x43718                 |         goto label_3;
                                         |     }
    0x0004337c lw v0, 0x30(fp)           |     v0 = *(var_30h);
    0x00043380 lw v0, 0xc(v0)            |     v0 = *((v0 + 3));
    0x00043384 lw v1, 0x68(fp)           |     v1 = *(arg_68h);
    0x00043388 lw a0, 0x18(v0)           |     a0 = *((v0 + 6));
    0x0004338c lw v0, 0x1b8(v1)          |     v0 = *((v1 + 110));
    0x00043390 sltu v0, v0, a0           |     v0 = (v0 < a0) ? 1 : 0;
                                         |     if (v0 == 0) {
    0x00043394 bnez v0, 0x433b4          |         
    0x00043398 nop                       |         
    0x0004339c lw v1, 0x68(fp)           |         v1 = *(arg_68h);
    0x000433a0 lw v0, 0x30(fp)           |         v0 = *(var_30h);
    0x000433a4 lw v0, 0xc(v0)            |         v0 = *((v0 + 3));
    0x000433a8 lbu v0, 0x24(v0)          |         v0 = *((v0 + 36));
    0x000433ac sb v0, 0x1bc(v1)          |         *((v1 + 444)) = v0;
    0x000433b0 b 0x433c0                 |         
                                         |     } else {
    0x000433b4 lw v1, 0x68(fp)           |         v1 = *(arg_68h);
    0x000433b8 addiu v0, zero, 9         |         v0 = 9;
    0x000433bc sb v0, 0x1bc(v1)          |         *((v1 + 444)) = v0;
                                         |     }
    0x000433c0 lw s0, 0x68(fp)           |     s0 = *(arg_68h);
    0x000433c4 lw v1, 0x34(fp)           |     v1 = *(var_34h);
    0x000433c8 lbu v0, 4(v1)             |     v0 = *((v1 + 4));
    0x000433cc sll a0, v0, 0x18          |     a0 = v0 << 0x18;
