[*] Binary protection state of auth

  
  	No RELRO       No Canary found   NX disabled  No PIE       No RPATH     No RUNPATH   No Symbols


[*] Function strcpy tear down of auth

    ; assembly                               | /* r2dec pseudo code output */
                                             | /* /logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/bin/auth @ 0x403d04 */
                                             | #include <stdint.h>
                                             |  
    ; (fcn) main ()                          | int32_t main () {
    0x00403d04 lui gp, 7                     |     
    0x00403d08 addiu gp, gp, -0x2734         |     
    0x00403d0c addu gp, gp, t9               |     gp += t9;
    0x00403d10 addiu sp, sp, -0x138          |     
    0x00403d14 sw ra, 0x130(sp)              |     *(var_130h) = ra;
    0x00403d18 sw s7, 0x12c(sp)              |     *(var_12ch) = s7;
    0x00403d1c sw s6, 0x128(sp)              |     *(var_128h) = s6;
    0x00403d20 sw s5, 0x124(sp)              |     *(var_124h) = s5;
    0x00403d24 sw s4, 0x120(sp)              |     *(var_120h) = s4;
    0x00403d28 sw s3, 0x11c(sp)              |     *(var_11ch) = s3;
    0x00403d2c sw s2, 0x118(sp)              |     *(var_118h) = s2;
    0x00403d30 sw s1, 0x114(sp)              |     *(var_114h) = s1;
    0x00403d34 sw s0, 0x110(sp)              |     *(var_110h) = s0;
    0x00403d38 sw gp, 0x38(sp)               |     *(var_38h) = gp;
    0x00403d3c slti a0, a0, 5                |     a0 = (a0 < 5) ? 1 : 0;
    0x00403d40 lw s2, -0x7ea0(gp)            |     s2 = *(gp);
    0x00403d44 move s4, a1                   |     s4 = a1;
                                             |     if (a0 != 0) {
    0x00403d48 beqz a0, 0x403d64             |         
    0x00403d4c lw a0, -0x7fd8(gp)            |         a0 = *((gp - 8182));
    0x00403d50 lw t9, -0x7be4(gp)            |         t9 = sym.imp.puts;
                                             |         /* esilref: 'Usage: auth wlan-interface eth-interface mode conf-file' */
    0x00403d54 addiu a0, a0, 0x44a8          |         a0 += 0x44a8;
    0x00403d58 jalr t9                       |         t9 ();
    0x00403d5c b 0x404440                    |         goto label_1;
    0x00403d60 nop                           |         
                                             |     }
    0x00403d64 lw s0, 0xc(a1)                |     s0 = *((a1 + 3));
    0x00403d68 lw a1, -0x7fd8(gp)            |     a1 = *((gp - 8182));
    0x00403d6c lw t9, -0x7e3c(gp)            |     t9 = sym.imp.strcmp;
    0x00403d70 move a0, s0                   |     a0 = s0;
                                             |     /* esilref: 'client-infra' */
    0x00403d74 addiu a1, a1, 0x44e0          |     a1 += 0x44e0;
    0x00403d78 jalr t9                       |     t9 ();
    0x00403d7c lw gp, 0x38(sp)               |     gp = *(var_38h);
    0x00403d80 move a0, s0                   |     a0 = s0;
                                             |     if (v0 == 0) {
    0x00403d84 bnez v0, 0x403d90             |         
    0x00403d88 addiu v0, zero, 1             |         v0 = 1;
    0x00403d8c b 0x403df8                    |         
                                             |     } else {
    0x00403d90 lw a1, -0x7fd8(gp)            |         a1 = *((gp - 8182));
    0x00403d94 lw t9, -0x7e3c(gp)            |         t9 = sym.imp.strcmp;
                                             |         /* esilref: 'client-adhoc' */
    0x00403d98 addiu a1, a1, 0x44f0          |         a1 += 0x44f0;
    0x00403d9c jalr t9                       |         t9 ();
    0x00403da0 lw gp, 0x38(sp)               |         gp = *(var_38h);
    0x00403da4 move a0, s0                   |         a0 = s0;
                                             |         if (v0 == 0) {
    0x00403da8 bnez v0, 0x403db4             |             
    0x00403dac addiu v0, zero, 2             |             v0 = 2;
    0x00403db0 b 0x403df8                    |             
