[*] Binary protection state of vsftpd

  
  	No RELRO       No Canary found   NX disabled  No PIE       No RPATH     No RUNPATH   No Symbols


[*] Function mmap tear down of vsftpd

    ; assembly                               | /* r2dec pseudo code output */
                                             | /* /logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/usr/sbin/vsftpd @ 0x41d7f0 */
                                             | #include <stdint.h>
                                             |  
    ; (fcn) sym.policy_setup ()              | void policy_setup () {
    0x0041d7f0 lui gp, 5                     |     
    0x0041d7f4 addiu gp, gp, 0x5860          |     
    0x0041d7f8 addu gp, gp, t9               |     gp += t9;
    0x0041d7fc addiu sp, sp, -0x30           |     
    0x0041d800 sw ra, 0x28(sp)               |     *(var_28h) = ra;
    0x0041d804 sw s3, 0x24(sp)               |     *(var_24h) = s3;
    0x0041d808 sw s2, 0x20(sp)               |     *(var_20h) = s2;
    0x0041d80c sw s1, 0x1c(sp)               |     *(var_1ch) = s1;
    0x0041d810 sw s0, 0x18(sp)               |     *(var_18h) = s0;
    0x0041d814 sw gp, 0x10(sp)               |     *(var_10h) = gp;
    0x0041d818 lw t9, -0x7dfc(gp)            |     t9 = sym.ptrace_sandbox_permit_exit;
    0x0041d81c move s0, a0                   |     s0 = a0;
    0x0041d820 lw s2, 0x28(a1)               |     s2 = *((a1 + 10));
    0x0041d824 move s1, a1                   |     s1 = a1;
    0x0041d828 jalr t9                       |     t9 ();
    0x0041d82c lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d830 nop                           |     
[31m    0x0041d834 lw t9, -0x7e78(gp)            |     t9 = sym.ptrace_sandbox_permit_mmap;[0m
    0x0041d838 lw s3, -0x7f08(gp)            |     s3 = *(gp);
    0x0041d83c move a0, s0                   |     a0 = s0;
    0x0041d840 jalr t9                       |     t9 ();
    0x0041d844 lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d848 nop                           |     
    0x0041d84c lw t9, -0x7e9c(gp)            |     t9 = sym.ptrace_sandbox_permit_mprotect;
    0x0041d850 nop                           |     
    0x0041d854 move a0, s0                   |     a0 = s0;
    0x0041d858 jalr t9                       |     t9 ();
    0x0041d85c lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d860 nop                           |     
    0x0041d864 lw t9, -0x7eac(gp)            |     t9 = sym.ptrace_sandbox_permit_brk;
    0x0041d868 nop                           |     
    0x0041d86c move a0, s0                   |     a0 = s0;
    0x0041d870 jalr t9                       |     t9 ();
    0x0041d874 lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d878 nop                           |     
    0x0041d87c lw t9, -0x77a4(gp)            |     t9 = sym.ptrace_sandbox_permit_read;
    0x0041d880 nop                           |     
    0x0041d884 move a0, s0                   |     a0 = s0;
    0x0041d888 jalr t9                       |     t9 ();
    0x0041d88c lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d890 nop                           |     
    0x0041d894 lw t9, -0x7bf4(gp)            |     t9 = sym.ptrace_sandbox_permit_write;
    0x0041d898 nop                           |     
    0x0041d89c move a0, s0                   |     a0 = s0;
    0x0041d8a0 jalr t9                       |     t9 ();
    0x0041d8a4 lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d8a8 nop                           |     
    0x0041d8ac lw t9, -0x75d4(gp)            |     t9 = sym.ptrace_sandbox_permit_query_time;
    0x0041d8b0 nop                           |     
    0x0041d8b4 move a0, s0                   |     a0 = s0;
    0x0041d8b8 jalr t9                       |     t9 ();
    0x0041d8bc lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d8c0 nop                           |     
    0x0041d8c4 lw t9, -0x7970(gp)            |     t9 = sym.ptrace_sandbox_permit_file_stats;
    0x0041d8c8 nop                           |     
    0x0041d8cc move a0, s0                   |     a0 = s0;
    0x0041d8d0 jalr t9                       |     t9 ();
    0x0041d8d4 lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d8d8 nop                           |     
    0x0041d8dc lw t9, -0x7bb4(gp)            |     t9 = sym.ptrace_sandbox_permit_fd_stats;
    0x0041d8e0 nop                           |     
    0x0041d8e4 move a0, s0                   |     a0 = s0;
    0x0041d8e8 jalr t9                       |     t9 ();
    0x0041d8ec lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d8f0 nop                           |     
    0x0041d8f4 lw t9, -0x7a98(gp)            |     t9 = sym.ptrace_sandbox_permit_getcwd;
    0x0041d8f8 nop                           |     
    0x0041d8fc move a0, s0                   |     a0 = s0;
    0x0041d900 jalr t9                       |     t9 ();
    0x0041d904 lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d908 nop                           |     
    0x0041d90c lw t9, -0x7a68(gp)            |     t9 = sym.ptrace_sandbox_permit_chdir;
    0x0041d910 nop                           |     
    0x0041d914 move a0, s0                   |     a0 = s0;
    0x0041d918 jalr t9                       |     t9 ();
    0x0041d91c lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d920 nop                           |     
    0x0041d924 lw t9, -0x7cf4(gp)            |     t9 = sym.ptrace_sandbox_permit_umask;
    0x0041d928 nop                           |     
    0x0041d92c move a0, s0                   |     a0 = s0;
    0x0041d930 jalr t9                       |     t9 ();
    0x0041d934 lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d938 move a1, zero                 |     a1 = 0;
    0x0041d93c lw t9, -0x7e2c(gp)            |     t9 = sym.ptrace_sandbox_permit_open;
    0x0041d940 nop                           |     
    0x0041d944 move a0, s0                   |     a0 = s0;
    0x0041d948 jalr t9                       |     t9 ();
    0x0041d94c lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d950 nop                           |     
    0x0041d954 lw t9, -0x7878(gp)            |     t9 = sym.ptrace_sandbox_permit_close;
    0x0041d958 nop                           |     
    0x0041d95c move a0, s0                   |     a0 = s0;
    0x0041d960 jalr t9                       |     t9 ();
    0x0041d964 lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d968 nop                           |     
    0x0041d96c lw t9, -0x74e0(gp)            |     t9 = sym.ptrace_sandbox_permit_sendfile;
    0x0041d970 nop                           |     
    0x0041d974 move a0, s0                   |     a0 = s0;
    0x0041d978 jalr t9                       |     t9 ();
    0x0041d97c lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d980 nop                           |     
    0x0041d984 lw t9, -0x7940(gp)            |     t9 = sym.ptrace_sandbox_permit_getdents;
    0x0041d988 nop                           |     
    0x0041d98c move a0, s0                   |     a0 = s0;
    0x0041d990 jalr t9                       |     t9 ();
    0x0041d994 lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0041d998 nop                           |     
