[*] Binary protection state of iwcontrol

  
  	No RELRO       No Canary found   NX disabled  No PIE       No RPATH     No RUNPATH   No Symbols


[*] Function fprintf tear down of iwcontrol

    ; assembly                               | /* r2dec pseudo code output */
                                             | /* /logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/bin/iwcontrol @ 0x401fd4 */
                                             | #include <stdint.h>
                                             |  
    ; (fcn) main ()                          | int32_t main () {
    0x00401fd4 lui gp, 5                     |     
    0x00401fd8 addiu gp, gp, -0xf44          |     
    0x00401fdc addu gp, gp, t9               |     gp += t9;
    0x00401fe0 addiu sp, sp, -0x80           |     
    0x00401fe4 sw ra, 0x7c(sp)               |     *(var_7ch) = ra;
    0x00401fe8 sw fp, 0x78(sp)               |     *(var_78h) = fp;
    0x00401fec sw s7, 0x74(sp)               |     *(var_74h) = s7;
    0x00401ff0 sw s6, 0x70(sp)               |     *(var_70h) = s6;
    0x00401ff4 sw s5, 0x6c(sp)               |     *(var_6ch) = s5;
    0x00401ff8 sw s4, 0x68(sp)               |     *(var_68h) = s4;
    0x00401ffc sw s3, 0x64(sp)               |     *(var_64h) = s3;
    0x00402000 sw s2, 0x60(sp)               |     *(var_60h) = s2;
    0x00402004 sw s1, 0x5c(sp)               |     *(var_5ch) = s1;
    0x00402008 sw s0, 0x58(sp)               |     *(var_58h) = s0;
    0x0040200c sw gp, 0x10(sp)               |     *(var_10h) = gp;
    0x00402010 lw s6, -0x7fe8(gp)            |     s6 = *((gp - 8186));
    0x00402014 move s5, a1                   |     s5 = a1;
    0x00402018 lw a1, -0x7fdc(gp)            |     a1 = *(gp);
    0x0040201c move s4, a0                   |     s4 = a0;
    0x00402020 lw v0, -0x7fdc(gp)            |     v0 = *(gp);
    0x00402024 lw t9, -0x7f34(gp)            |     t9 = sym.imp.fopen;
    0x00402028 addiu a1, a1, 0x7414          |     a1 += 0x7414;
    0x0040202c lw a0, -0x6fa0(s6)            |     a0 = *((s6 - 7144));
                                             |     /* esilref: '/var/iapp.fifo' */
    0x00402030 addiu s7, v0, 0x7418          |     s7 = v0 + 0x7418;
    0x00402034 sw zero, 0x54(sp)             |     *(var_54h) = 0;
    0x00402038 jalr t9                       |     t9 ();
    0x0040203c lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x00402040 move s1, v0                   |     s1 = v0;
                                             |     if (v0 != 0) {
    0x00402044 beqz v0, 0x4020b8             |         
    0x00402048 lw t9, -0x7e98(gp)            |         t9 = sym.imp.fgets;
    0x0040204c addiu s0, sp, 0x38            |         s0 = sp + 0x38;
    0x00402050 move a0, s0                   |         a0 = s0;
    0x00402054 addiu a1, zero, 0x14          |         a1 = 0x14;
    0x00402058 move a2, v0                   |         a2 = v0;
    0x0040205c jalr t9                       |         t9 ();
    0x00402060 move a0, s0                   |         a0 = s0;
    0x00402064 lw gp, 0x10(sp)               |         gp = *(var_10h);
    0x00402068 addiu a2, sp, 0x50            |         a2 = sp + 0x50;
    0x0040206c lw a1, -0x7fdc(gp)            |         a1 = *(gp);
    0x00402070 lw t9, -0x7f20(gp)            |         t9 = sym.imp.sscanf;
                                             |         /* esilref: '&d' */
    0x00402074 addiu a1, a1, 0x7428          |         a1 += 0x7428;
    0x00402078 jalr t9                       |         t9 ();
    0x0040207c lw gp, 0x10(sp)               |         gp = *(var_10h);
                                             |         if (v0 != 0) {
    0x00402080 beqz v0, 0x4020a8             |             
    0x00402084 nop                           |             
    0x00402088 lw a0, 0x50(sp)               |             a0 = *(var_50h);
    0x0040208c slti v0, a0, 2                |             v0 = (a0 < 2) ? 1 : 0;
                                             |             if (v0 != 0) {
    0x00402090 bnez v0, 0x4020a8             |                 goto label_0;
                                             |             }
    0x00402094 nop                           |             
    0x00402098 lw t9, -0x7ef4(gp)            |             t9 = sym.imp.kill;
    0x0040209c addiu a1, zero, 0xf           |             a1 = 0xf;
    0x004020a0 jalr t9                       |             t9 ();
    0x004020a4 lw gp, 0x10(sp)               |             gp = *(var_10h);
                                             |         }
                                             | label_0:
    0x004020a8 lw t9, -0x7f48(gp)            |         t9 = sym.imp.fclose;
    0x004020ac move a0, s1                   |         a0 = s1;
    0x004020b0 jalr t9                       |         t9 ();
    0x004020b4 lw gp, 0x10(sp)               |         gp = *(var_10h);
                                             |     }
    0x004020b8 lw t9, -0x7fbc(gp)            |     t9 = sym.imp.setsid;
    0x004020bc addiu s2, zero, 1             |     s2 = 1;
    0x004020c0 jalr t9                       |     t9 ();
    0x004020c4 slt v0, s2, s4                |     v0 = (s2 < s4) ? 1 : 0;
    0x004020c8 lw gp, 0x10(sp)               |     gp = *(var_10h);
                                             |     if (v0 == 0) {
    0x004020cc beqz v0, 0x4021b4             |         goto label_1;
                                             |     }
    0x004020d0 nop                           |     
    0x004020d4 addiu s1, s5, 4               |     s1 = s5 + 4;
                                             |     do {
    0x004020d8 lw s0, (s1)                   |         s0 = *(s1);
    0x004020dc addiu a2, zero, 4             |         a2 = 4;
    0x004020e0 lw a0, -0x7fdc(gp)            |         a0 = *(gp);
    0x004020e4 lw t9, -0x7f08(gp)            |         t9 = sym.imp.strncmp;
    0x004020e8 move a1, s0                   |         a1 = s0;
    0x004020ec lw s3, -0x7fe8(gp)            |         s3 = *((gp - 8186));
                                             |         /* esilref: 'wlan' */
    0x004020f0 addiu a0, a0, 0x742c          |         a0 += 0x742c;
    0x004020f4 jalr t9                       |         t9 ();
    0x004020f8 move a1, s0                   |         a1 = s0;
    0x004020fc lw gp, 0x10(sp)               |         gp = *(var_10h);
    0x00402100 addiu a2, zero, 4             |         a2 = 4;
    0x00402104 lw a0, -0x7fdc(gp)            |         a0 = *(gp);
    0x00402108 lw t9, -0x7f08(gp)            |         t9 = sym.imp.strncmp;
                                             |         /* esilref: 'Register to &s
' */
    0x0040210c addiu a0, a0, 0x7434          |         a0 += 0x7434;
                                             |         if (v0 == 0) {
    0x00402110 bnez v0, 0x402170             |             
    0x00402114 lw v0, -0x6fb0(s3)            |             v0 = *((s3 - 7148));
    0x00402118 lw t9, -0x7e74(gp)            |             t9 = sym.imp.printf;
    0x0040211c slti v0, v0, 0xa              |             v0 = (v0 < 0xa) ? 1 : 0;
                                             |             if (v0 == 0) {
    0x00402120 beqz v0, 0x402580             |                 goto label_2;
                                             |             }
    0x00402124 nop                           |             
    0x00402128 addiu s2, s2, 1               |             s2++;
    0x0040212c jalr t9                       |             t9 ();
    0x00402130 lw gp, 0x10(sp)               |             gp = *(var_10h);
    0x00402134 lw v1, -0x6fb0(s3)            |             v1 = *((s3 - 7148));
    0x00402138 lw a0, -0x7fe8(gp)            |             a0 = *((gp - 8186));
    0x0040213c sll v0, v1, 2                 |             v0 = v1 << 2;
    0x00402140 addu v0, v0, v1               |             v0 += v1;
    0x00402144 addiu a0, a0, -0x6668         |             a0 += -0x6668;
    0x00402148 sll v0, v0, 2                 |             v0 <<= 2;
    0x0040214c lw t9, -0x7e68(gp)            |             t9 = sym.imp.strcpy;
    0x00402150 lw a1, (s1)                   |             a1 = *(s1);
    0x00402154 addu a0, v0, a0               |             a0 = v0 + a0;
    0x00402158 jalr t9                       |             t9 ();
    0x0040215c lw v0, -0x6fb0(s3)            |             v0 = *((s3 - 7148));
    0x00402160 lw gp, 0x10(sp)               |             gp = *(var_10h);
    0x00402164 addiu v0, v0, 1               |             v0++;
    0x00402168 sw v0, -0x6fb0(s3)            |             *((s3 - 7148)) = v0;
    0x0040216c b 0x4021a8                    |             
                                             |         } else {
    0x00402170 lw a0, -0x7fdc(gp)            |             a0 = *(gp);
    0x00402174 move a1, s0                   |             a1 = s0;
                                             |             /* esilref: 'poll' */
    0x00402178 addiu a0, a0, 0x7444          |             a0 += 0x7444;
    0x0040217c jalr t9                       |             t9 ();
    0x00402180 addiu v1, zero, 1             |             v1 = 1;
    0x00402184 lw gp, 0x10(sp)               |             gp = *(var_10h);
    0x00402188 sw v1, 0x54(sp)               |             *(var_54h) = v1;
                                             |             if (v0 != 0) {
    0x0040218c beqz v0, 0x4021a4             |                 
    0x00402190 lw a0, -0x7fdc(gp)            |                 a0 = *(gp);
    0x00402194 lw a1, (s5)                   |                 a1 = *(s5);
    0x00402198 lw t9, -0x7e74(gp)            |                 t9 = sym.imp.printf;
                                             |                 /* esilref: 'Usage: &s [wlan0] [wlan1] ... 
' */
    0x0040219c addiu a0, a0, 0x744c          |                 a0 += 0x744c;
    0x004021a0 b 0x40258c                    |                 goto label_3;
                                             |             }
    0x004021a4 addiu s2, s2, 1               |             s2++;
                                             |         }
