[*] Binary protection state of ntfs-3g

  
  	No RELRO       No Canary found   NX disabled  No PIE       RPATH        No RUNPATH   No Symbols


[*] Function strcat tear down of ntfs-3g

    ; assembly                               | /* r2dec pseudo code output */
                                             | /* /logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/bin/ntfs-3g @ 0x40c7c0 */
                                             | #include <stdint.h>
                                             |  
    ; (fcn) main ()                          | int32_t main () {
    0x0040c7c0 lui gp, 6                     |     
    0x0040c7c4 addiu gp, gp, 0x3650          |     
    0x0040c7c8 addu gp, gp, t9               |     gp += t9;
    0x0040c7cc addiu sp, sp, -0x100          |     
    0x0040c7d0 sw ra, 0xf8(sp)               |     *(var_f8h) = ra;
    0x0040c7d4 sw fp, 0xf4(sp)               |     *(var_f4h) = fp;
    0x0040c7d8 sw s0, 0xf0(sp)               |     *(var_f0h) = s0;
    0x0040c7dc move fp, sp                   |     fp = sp;
    0x0040c7e0 sw gp, 0x10(sp)               |     *(var_10h) = gp;
    0x0040c7e4 sw a0, 0x100(fp)              |     *(arg_100h) = a0;
    0x0040c7e8 sw a1, 0x104(fp)              |     *(arg_104h) = a1;
    0x0040c7ec sw zero, 0x18(fp)             |     *(var_18h) = 0;
    0x0040c7f0 addiu v0, zero, 1             |     v0 = 1;
    0x0040c7f4 sw v0, 0x20(fp)               |     *(var_20h) = v0;
    0x0040c7f8 sw zero, 0x24(fp)             |     *(var_24h) = 0;
    0x0040c7fc sw zero, 0x28(fp)             |     *(var_28h) = 0;
                                             |     do {
    0x0040c800 lw a0, -0x7fdc(gp)            |         a0 = *((gp - 8183));
                                             |         /* esilref: '/dev/null' */
    0x0040c804 addiu a0, a0, 0x53a0          |         a0 += 0x53a0;
    0x0040c808 addiu a1, zero, 2             |         a1 = 2;
    0x0040c80c lw t9, -0x7e2c(gp)            |         t9 = sym.imp.open64;
    0x0040c810 jalr t9                       |         t9 ();
    0x0040c814 nop                           |         
    0x0040c818 lw gp, 0x10(fp)               |         gp = *(var_10h);
    0x0040c81c sw v0, 0xd8(fp)               |         *(var_d8h) = v0;
    0x0040c820 lw v0, 0xd8(fp)               |         v0 = *(var_d8h);
    0x0040c824 slti v0, v0, 3                |         v0 = (v0 < 3) ? 1 : 0;
                                             |         if (v0 == 0) {
    0x0040c828 bnez v0, 0x40c844             |             
    0x0040c82c nop                           |             
    0x0040c830 lw a0, 0xd8(fp)               |             a0 = *(var_d8h);
    0x0040c834 lw t9, -0x7fa0(gp)            |             t9 = sym.imp.close;
    0x0040c838 jalr t9                       |             t9 ();
    0x0040c83c nop                           |             
    0x0040c840 lw gp, 0x10(fp)               |             gp = *(var_10h);
                                             |         }
    0x0040c844 lw v0, 0xd8(fp)               |         v0 = *(var_d8h);
                                             |         if (v0 < 0) {
    0x0040c848 bltz v0, 0x40c868             |             goto label_0;
                                             |         }
    0x0040c84c nop                           |         
    0x0040c850 lw v0, 0xd8(fp)               |         v0 = *(var_d8h);
    0x0040c854 slti v0, v0, 3                |         v0 = (v0 < 3) ? 1 : 0;
                                             |         if (v0 == 0) {
    0x0040c858 beqz v0, 0x40c868             |             goto label_0;
                                             |         }
    0x0040c85c nop                           |         
    0x0040c860 b 0x40c800                    |         
                                             |     } while (1);
    0x0040c864 nop                           |     
                                             | label_0:
    0x0040c868 lw t9, -0x7c0c(gp)            |     t9 = sym.drop_privs;
    0x0040c86c jalr t9                       |     t9 ();
    0x0040c870 nop                           |     
    0x0040c874 lw gp, 0x10(fp)               |     gp = *(var_10h);
                                             |     if (v0 != 0) {
    0x0040c878 beqz v0, 0x40c888             |         
    0x0040c87c addiu v0, zero, 0x13          |         v0 = 0x13;
    0x0040c880 sw v0, 0xdc(fp)               |         *(var_dch) = v0;
    0x0040c884 b 0x40d290                    |         
                                             |     } else {
    0x0040c888 lw t9, -0x7f00(gp)            |         t9 = sym.imp.ntfs_set_locale;
    0x0040c88c jalr t9                       |         t9 ();
    0x0040c890 nop                           |         
    0x0040c894 lw gp, 0x10(fp)               |         gp = *(var_10h);
    0x0040c898 lw a0, -0x7b74(gp)            |         a0 = *((gp - 7901));
    0x0040c89c lw t9, -0x7b50(gp)            |         t9 = sym.imp.ntfs_log_set_handler;
    0x0040c8a0 jalr t9                       |         t9 ();
    0x0040c8a4 nop                           |         
    0x0040c8a8 lw gp, 0x10(fp)               |         gp = *(var_10h);
    0x0040c8ac lw a0, -0x7fe8(gp)            |         a0 = *((gp - 8186));
    0x0040c8b0 addiu a0, a0, -0x7cf0         |         a0 += -0x7cf0;
    0x0040c8b4 lw a1, -0x7fd4(gp)            |         a1 = *((gp - 8181));
    0x0040c8b8 addiu a1, a1, -0x41a4         |         a1 += -0x41a4;
    0x0040c8bc lw a2, 0x100(fp)              |         a2 = *(arg_100h);
    0x0040c8c0 lw a3, 0x104(fp)              |         a3 = *(arg_104h);
    0x0040c8c4 lw t9, -0x7bec(gp)            |         t9 = sym.ntfs_parse_options;
    0x0040c8c8 jalr t9                       |         t9 ();
    0x0040c8cc nop                           |         
    0x0040c8d0 lw gp, 0x10(fp)               |         gp = *(var_10h);
                                             |         if (v0 != 0) {
    0x0040c8d4 beqz v0, 0x40c8f8             |             
    0x0040c8d8 lw t9, -0x7fd4(gp)            |             t9 = *((gp - 8181));
    0x0040c8dc addiu t9, t9, -0x41a4         |             t9 += -0x41a4;
    0x0040c8e0 jalr t9                       |             t9 ();
    0x0040c8e4 nop                           |             
    0x0040c8e8 lw gp, 0x10(fp)               |             gp = *(var_10h);
    0x0040c8ec addiu v0, zero, 0xb           |             v0 = 0xb;
    0x0040c8f0 sw v0, 0xdc(fp)               |             *(var_dch) = v0;
    0x0040c8f4 b 0x40d290                    |             
