[*] Binary protection state of iptables

  
  	No RELRO       No Canary found   NX disabled  No PIE       No RPATH     No RUNPATH   No Symbols


[*] Function strcat tear down of iptables

    ; assembly                               | /* r2dec pseudo code output */
                                             | /* /logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/bin/iptables @ 0x4071bc */
                                             | #include <stdint.h>
                                             |  
    ; (fcn) fcn.004071bc ()                  | void fcn_004071bc () {
    0x004071bc lui gp, 9                     |     
    0x004071c0 addiu gp, gp, -0x3ebc         |     
    0x004071c4 addu gp, gp, t9               |     gp += t9;
    0x004071c8 addiu sp, sp, -0x1050         |     
    0x004071cc sw ra, 0x104c(sp)             |     *(var_104ch) = ra;
    0x004071d0 sw s6, 0x1048(sp)             |     *(var_1048h) = s6;
    0x004071d4 sw s5, 0x1044(sp)             |     *(var_1044h) = s5;
    0x004071d8 sw s4, 0x1040(sp)             |     *(var_1040h) = s4;
    0x004071dc sw s3, 0x103c(sp)             |     *(var_103ch) = s3;
    0x004071e0 sw s2, 0x1038(sp)             |     *(var_1038h) = s2;
    0x004071e4 sw s1, 0x1034(sp)             |     *(var_1034h) = s1;
    0x004071e8 sw s0, 0x1030(sp)             |     *(var_1030h) = s0;
    0x004071ec sw gp, 0x10(sp)               |     *(var_10h) = gp;
    0x004071f0 lw t9, -0x7ee8(gp)            |     t9 = sym.iptc_is_chain;
    0x004071f4 move s1, a1                   |     s1 = a1;
    0x004071f8 move s2, a0                   |     s2 = a0;
    0x004071fc move a0, a1                   |     a0 = a1;
    0x00407200 lw a1, 0x1060(sp)             |     a1 = *(arg_1060h);
    0x00407204 move s0, a2                   |     s0 = a2;
    0x00407208 move s4, a3                   |     s4 = a3;
    0x0040720c jalr t9                       |     t9 ();
    0x00407210 lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x00407214 lw t9, -0x7b6c(gp)            |     t9 = sym.xtables_find_target;
    0x00407218 move a0, s1                   |     a0 = s1;
                                             |     if (v0 == 0) {
    0x0040721c bnez v0, 0x407228             |         
    0x00407220 addiu a1, zero, 2             |         a1 = 2;
    0x00407224 b 0x407234                    |         
                                             |     } else {
    0x00407228 lw a0, -0x7fd4(gp)            |         a0 = *((gp - 8181));
    0x0040722c addiu a1, zero, 3             |         a1 = 3;
    0x00407230 addiu a0, a0, 0x6a7c          |         a0 += 0x6a7c;
                                             |     }
    0x00407234 jalr t9                       |     t9 ();
    0x00407238 nop                           |     
    0x0040723c andi v1, s4, 0x100            |     v1 = s4 & 0x100;
    0x00407240 move s5, v0                   |     s5 = v0;
    0x00407244 lhu v0, 0x58(s2)              |     v0 = *((s2 + 44));
    0x00407248 lw gp, 0x10(sp)               |     gp = *(var_10h);
    0x0040724c lbu s3, 0x52(s2)              |     s3 = *((s2 + 82));
    0x00407250 addu s6, s2, v0               |     s6 = s2 + v0;
                                             |     if (v1 != 0) {
    0x00407254 beqz v1, 0x407288             |         
    0x00407258 andi v0, s4, 0x10             |         v0 = s4 & 0x10;
                                             |         if (v0 != 0) {
    0x0040725c beqz v0, 0x407270             |             
    0x00407260 nop                           |             
    0x00407264 lw v0, -0x7fd4(gp)            |             v0 = *((gp - 8181));
    0x00407268 addiu a0, v0, 0x6a80          |             a0 = v0 + 0x6a80;
    0x0040726c b 0x407278                    |             
                                             |         } else {
    0x00407270 lw v0, -0x7fd4(gp)            |             v0 = *((gp - 8181));
    0x00407274 addiu a0, v0, 0x6a84          |             a0 = v0 + 0x6a84;
                                             |         }
    0x00407278 lw t9, -0x7b84(gp)            |         t9 = sym.imp.printf;
    0x0040727c move a1, s0                   |         a1 = s0;
    0x00407280 jalr t9                       |         t9 ();
    0x00407284 lw gp, 0x10(sp)               |         gp = *(var_10h);
                                             |     }
    0x00407288 andi v0, s4, 2                |     v0 = s4 & 2;
    0x0040728c andi v0, s4, 0x20             |     v0 = s4 & 0x20;
                                             |     if (v0 == 0) {
    0x00407290 bnez v0, 0x4072cc             |         
    0x00407294 lw v0, -0x7fd8(gp)            |         v0 = *(gp);
    0x00407298 lw a1, 0x64(s2)               |         a1 = *((s2 + 25));
    0x0040729c addiu s0, v0, 0x6fb8          |         s0 = v0 + 0x6fb8;
    0x004072a0 lw a0, 0x60(s2)               |         a0 = *((s2 + 24));
    0x004072a4 move t9, s0                   |         t9 = s0;
    0x004072a8 move a2, s4                   |         a2 = s4;
    0x004072ac jalr t9                       |         t9 ();
    0x004072b0 lw a1, 0x6c(s2)               |         a1 = *((s2 + 27));
    0x004072b4 move t9, s0                   |         t9 = s0;
    0x004072b8 lw a0, 0x68(s2)               |         a0 = *((s2 + 26));
    0x004072bc move a2, s4                   |         a2 = s4;
    0x004072c0 jalr t9                       |         t9 ();
    0x004072c4 lw gp, 0x10(sp)               |         gp = *(var_10h);
    0x004072c8 andi v0, s4, 0x20             |         v0 = s4 & 0x20;
                                             |     }
    0x004072cc andi v0, s4, 0x10             |     v0 = s4 & 0x10;
                                             |     if (v0 == 0) {
    0x004072d0 bnez v0, 0x407300             |         
                                             |         if (v0 != 0) {
    0x004072d4 beqz v0, 0x4072e8             |             
    0x004072d8 nop                           |             
    0x004072dc lw v0, -0x7fd4(gp)            |             v0 = *((gp - 8181));
    0x004072e0 addiu a0, v0, 0x6a8c          |             a0 = v0 + 0x6a8c;
    0x004072e4 b 0x4072f0                    |             
                                             |         } else {
    0x004072e8 lw v0, -0x7fd4(gp)            |             v0 = *((gp - 8181));
    0x004072ec addiu a0, v0, 0x6a90          |             a0 = v0 + 0x6a90;
                                             |         }
