[*] Binary protection state of ushare

  
  	No RELRO       No Canary found   NX disabled  No PIE       No RPATH     No RUNPATH   No Symbols


[*] Function strcat tear down of ushare

    ; assembly                               | /* r2dec pseudo code output */
                                             | /* /logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/usr/bin/ushare @ 0x4084c0 */
                                             | #include <stdint.h>
                                             |  
    ; (fcn) sym.buffer_append ()             | void buffer_append () {
    0x004084c0 lui gp, 6                     |     
    0x004084c4 addiu gp, gp, -0x5900         |     
    0x004084c8 addu gp, gp, t9               |     gp += t9;
    0x004084cc addiu sp, sp, -0x28           |     
    0x004084d0 sw ra, 0x24(sp)               |     *(var_24h) = ra;
    0x004084d4 sw s2, 0x20(sp)               |     *(var_20h) = s2;
    0x004084d8 sw s1, 0x1c(sp)               |     *(var_1ch) = s1;
    0x004084dc sw s0, 0x18(sp)               |     *(var_18h) = s0;
    0x004084e0 sw gp, 0x10(sp)               |     *(var_10h) = gp;
    0x004084e4 move s1, a0                   |     s1 = a0;
    0x004084e8 move s2, a1                   |     s2 = a1;
                                             |     if (a0 == 0) {
    0x004084ec beqz a0, 0x40858c             |         goto label_0;
                                             |     }
                                             |     if (a1 == 0) {
    0x004084f0 beqz a1, 0x40858c             |         goto label_0;
                                             |     }
    0x004084f4 nop                           |     
    0x004084f8 lw s0, (s1)                   |     s0 = *(s1);
    0x004084fc lw t9, -0x7d20(gp)            |     t9 = sym.imp.malloc;
    0x00408500 ori a0, zero, 0x8000          |     a0 = 0x8000;
    0x00408504 beqz s0, 0x4085a4             |     
                                             |     while (1) {
    0x00408508 lw t9, -0x7f70(gp)            |         t9 = sym.imp.strlen;
    0x0040850c move a0, s2                   |         a0 = s2;
    0x00408510 jalr t9                       |         t9 ();
    0x00408514 lw t0, 4(s1)                  |         t0 = *((s1 + 1));
    0x00408518 lw a2, 8(s1)                  |         a2 = *((s1 + 2));
    0x0040851c addu a3, t0, v0               |         a3 = t0 + v0;
    0x00408520 sll a1, a2, 1                 |         a1 = a2 << 1;
    0x00408524 addiu v0, a3, 1               |         v0 = a3 + 1;
    0x00408528 sltu a0, a1, v0               |         a0 = (a1 < v0) ? 1 : 0;
    0x0040852c sltu v1, a3, a2               |         v1 = (a3 < a2) ? 1 : 0;
    0x00408530 lw gp, 0x10(sp)               |         gp = *(var_10h);
                                             |         if (a0 != 0) {
    0x00408534 movz v0, a1, a0               |             v0 = a1;
                                             |         }
    0x00408538 move a1, v0                   |         a1 = v0;
    0x0040853c lw t9, -0x7e40(gp)            |         t9 = sym.imp.realloc;
    0x00408540 move a0, s0                   |         a0 = s0;
                                             |         if (v1 == 0) {
    0x00408544 bnez v1, 0x40855c             |             
    0x00408548 sw v0, 8(s1)                  |             *((s1 + 2)) = v0;
    0x0040854c jalr t9                       |             t9 ();
    0x00408550 lw gp, 0x10(sp)               |             gp = *(var_10h);
    0x00408554 move s0, v0                   |             s0 = v0;
    0x00408558 sw v0, (s1)                   |             *(s1) = v0;
                                             |         }
[31m    0x0040855c lw t9, -0x7dbc(gp)            |         t9 = sym.imp.strcat;[0m
    0x00408560 move a0, s0                   |         a0 = s0;
    0x00408564 move a1, s2                   |         a1 = s2;
    0x00408568 jalr t9                       |         t9 ();
    0x0040856c lw gp, 0x10(sp)               |         gp = *(var_10h);
    0x00408570 lw t9, -0x7f70(gp)            |         t9 = sym.imp.strlen;
    0x00408574 move a0, s2                   |         a0 = s2;
    0x00408578 jalr t9                       |         t9 ();
    0x0040857c lw t2, 4(s1)                  |         t2 = *((s1 + 1));
    0x00408580 lw gp, 0x10(sp)               |         gp = *(var_10h);
    0x00408584 addu t1, t2, v0               |         t1 = t2 + v0;
    0x00408588 sw t1, 4(s1)                  |         *((s1 + 1)) = t1;
                                             | label_0:
    0x0040858c lw ra, 0x24(sp)               |         ra = *(var_24h);
    0x00408590 lw s2, 0x20(sp)               |         s2 = *(var_20h);
    0x00408594 lw s1, 0x1c(sp)               |         s1 = *(var_1ch);
    0x00408598 lw s0, 0x18(sp)               |         s0 = *(var_18h);
    0x0040859c addiu sp, sp, 0x28            |         
    0x004085a0 jr ra                         |         return v0;
    0x004085a4 ori v0, zero, 0x8000          |         v0 = 0x8000;
    0x004085a8 sw v0, 8(s1)                  |         *((s1 + 2)) = v0;
    0x004085ac jalr t9                       |         t9 ();
    0x004085b0 move a1, zero                 |         a1 = 0;
    0x004085b4 lw gp, 0x10(sp)               |         gp = *(var_10h);
    0x004085b8 move a0, v0                   |         a0 = v0;
    0x004085bc lw a2, 8(s1)                  |         a2 = *((s1 + 2));
    0x004085c0 lw t9, -0x7e80(gp)            |         t9 = sym.imp.memset;
    0x004085c4 sw v0, (s1)                   |         *(s1) = v0;
    0x004085c8 jalr t9                       |         t9 ();
    0x004085cc lw gp, 0x10(sp)               |         gp = *(var_10h);
    0x004085d0 lw s0, (s1)                   |         s0 = *(s1);
    0x004085d4 b 0x408508                    |         
                                             |     }
    0x004085d8 nop                           |     
                                             | }
    ; assembly                               | /* r2dec pseudo code output */
                                             | /* /logs/firmware/unblob_extracted/firmware_extract/1180160-3904000.squashfs_v4_le_extract/usr/bin/ushare @ 0x4085dc */
                                             | #include <stdint.h>
                                             |  
    ; (fcn) sym.buffer_appendf ()            | void buffer_appendf () {
    0x004085dc lui gp, 6                     |     
    0x004085e0 addiu gp, gp, -0x5a1c         |     
    0x004085e4 addu gp, gp, t9               |     gp += t9;
    0x004085e8 addiu sp, sp, -0x7fe0         |     
    0x004085ec sw ra, 0x7fdc(sp)             |     *(var_7fdch) = ra;
